exchange,commodity,underlying,contract_month,strike,call_oi,put_oi,total_oi,call_volume,put_volume,total_volume,call_amount,put_amount,total_amount,price_wall_score
CZCE,CF,CF,2703,15200.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006385131114987675
CZCE,CF,CF,2703,15400.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010517362519946352
CZCE,CF,CF,2703,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,15800.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010517362519946352
CZCE,CF,CF,2703,16000.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018781825329863707
CZCE,CF,CF,2703,16200.0,1.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024980172437301723
CZCE,CF,CF,2703,16400.0,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003324463524721908
CZCE,CF,CF,2703,16600.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022914056734822386
CZCE,CF,CF,2703,16800.0,10.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043575213759615775
CZCE,CF,CF,2703,17000.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006385131114987675
CZCE,CF,CF,2703,17200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,17400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,17600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,17800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043190154125083354
CZCE,CF,CF,2703,18000.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022914056734822386
CZCE,CF,CF,2703,18200.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035310750949698417
